name,price,category
Груши сезонные,"Цена со скидкой за 1 кг119,99 ₽","Овощи, фрукты, зелень, орехи"
Хурма Шиш Бурун,"Цена за 1 кг125,00 ₽","Овощи, фрукты, зелень, орехи"
Семечки подсолнечные от Мартина жареные соленые полосатые...,"109,99 ₽","Овощи, фрукты, зелень, орехи"
Чеснок свежий 3 шт,"Цена со скидкой за 1 шт.59,99 ₽","Овощи, фрукты, зелень, орехи"
Салатная смесь Белая Дача Тоскана 120 г,"159,99 ₽","Овощи, фрукты, зелень, орехи"
Набор зелени Global Village укроп и лук 50 г,"69,99 ₽","Овощи, фрукты, зелень, орехи"
Корнишоны Bonduelle Expert маринованные 540 г,"280,99 ₽","Овощи, фрукты, зелень, орехи"
Лечо Global Village 520 г,"Цена со скидкой за 1 шт.109,99 ₽","Овощи, фрукты, зелень, орехи"
Огурцы Global Village соленые по-домашнему 680 г,"Цена со скидкой за 1 шт.138,99 ₽","Овощи, фрукты, зелень, орехи"
Вареная кукуруза сахарная в початках 2 шт,"Цена со скидкой за 1 шт.169,99 ₽","Овощи, фрукты, зелень, орехи"
Горошек Bonduelle Нежный зеленый консервированный 400 г,"Цена со скидкой за 1 шт.139,99 ₽","Овощи, фрукты, зелень, орехи"
Курага Красная цена 100 г,"59,99 ₽","Овощи, фрукты, зелень, орехи"
Перец красный Рамиро,"Цена со скидкой за 1 шт.199,99 ₽","Овощи, фрукты, зелень, орехи"
Фасоль Global Village красная в собственном соку 425 мл,"Цена со скидкой за 1 шт.89,99 ₽","Овощи, фрукты, зелень, орехи"
Шампиньоны Global Village маринованные 330 г,"Цена со скидкой за 1 шт.149,99 ₽","Овощи, фрукты, зелень, орехи"
Хурма Азербайджан 525 г,"199,99 ₽","Овощи, фрукты, зелень, орехи"
Компотная смесь ~500 г,"275,00 ₽","Овощи, фрукты, зелень, орехи"
Кешью Красная цена жареный 100 г,"126,99 ₽","Овощи, фрукты, зелень, орехи"
Редис красный 500 г,"Цена со скидкой за 1 шт.149,99 ₽","Овощи, фрукты, зелень, орехи"
Авокадо Hass 2 шт,"259,99 ₽","Овощи, фрукты, зелень, орехи"
Груши Китайские,"Цена за 1 кг110,00 ₽","Овощи, фрукты, зелень, орехи"
Томаты очищенные Global Village 680 г,"139,99 ₽","Овощи, фрукты, зелень, орехи"
Салат Саланова кудрявая 1 шт,"99,99 ₽","Овощи, фрукты, зелень, орехи"
Оливки Красная цена без косточки 300 г,"112,99 ₽","Овощи, фрукты, зелень, орехи"
Помело,"Цена со скидкой за 1 кг359,98 ₽","Овощи, фрукты, зелень, орехи"
Замороженная смесь овощная Global Village Азиатская...,"239,99 ₽","Овощи, фрукты, зелень, орехи"
Опята Global Village целые маринованные 330 г,"Цена со скидкой за 1 шт.154,99 ₽","Овощи, фрукты, зелень, орехи"
